,device_id,visit_id,venue_id,visit_start_time,visit_end_time,visit_lat,visit_long,visit_weight,user_home_lat,user_home_long,date,month,day,trip_distance,visit_duration,hour,weekday,weekday_name,weighted_sum,loyalty
0,1019,5c79e42c0c503906e8b3b5d1,4ceb1df9727f7ce6265b814d,2019-03-01 07:57:00,2019-03-01 09:12:00,41.37176514,-72.9134903,108.2853359,41.36365018,-72.94826722,2019-03-01 07:57:00,3,1,3.010401257924516,75.0,7,4,Friday,8151.854295332065,loyal
1,1019,5c7b3395e9628006650a438c,4ceb1df9727f7ce6265b814d,2019-03-02 09:47:00,2019-03-02 10:17:00,41.37251282,-72.91437531,108.8704493,41.36289963,-72.94911137,2019-03-02 09:47:00,3,2,3.104603541989652,30.0,9,5,Saturday,8151.854295332065,loyal
2,1019,5c898582cd70f1062a24c5ef,4ceb1df9727f7ce6265b814d,2019-03-12 11:12:00,2019-03-12 12:22:00,41.37246704,-72.91442108,103.1920996,41.36347278,-72.94851316,2019-03-12 11:12:00,3,12,3.0362476677096697,70.0,11,1,Tuesday,8151.854295332065,loyal
3,1019,5c8a21ef2c03970605518c11,4ceb1df9727f7ce6265b814d,2019-03-13 10:17:00,2019-03-13 11:34:00,41.37248993,-72.91433716,100.0451834,41.36506111,-72.9486569,2019-03-13 10:17:00,3,13,2.9950760295692835,77.0,10,2,Wednesday,8151.854295332065,loyal
4,1019,5c8b12b2e144fd064c87092f,4ceb1df9727f7ce6265b814d,2019-03-14 11:24:00,2019-03-14 13:29:00,41.37239838,-72.91415405,99.67648654,41.36335549,-72.94921434,2019-03-14 11:24:00,3,14,3.0959690961237887,125.00000000000001,11,3,Thursday,8151.854295332065,loyal
5,1019,5c8db5c95e29db06676df59e,4ceb1df9727f7ce6265b814d,2019-03-16 09:54:00,2019-03-16 10:25:00,41.37219238,-72.91398621,98.37393823,41.36320731,-72.94696691,2019-03-16 09:54:00,3,16,2.924347425604873,31.000000000000004,9,5,Saturday,8151.854295332065,loyal
6,1019,5c919cf025686605d573db03,4ceb1df9727f7ce6265b814d,2019-03-19 10:27:00,2019-03-19 11:27:00,41.37242126,-72.91441345,97.92189301,41.36330837,-72.94698469,2019-03-19 10:27:00,3,19,2.921857278022044,60.0,10,1,Tuesday,8151.854295332065,loyal
7,1019,5c92ef580afb6805efe6e4b2,4ceb1df9727f7ce6265b814d,2019-03-20 09:44:00,2019-03-20 10:26:00,41.37224579,-72.91376495,97.81172539,41.36307093,-72.94873579,2019-03-20 09:44:00,3,20,3.0685995365353875,42.0,9,2,Wednesday,8151.854295332065,loyal
8,1019,5c943fc0e2dbb906ab471805,4ceb1df9727f7ce6265b814d,2019-03-21 09:57:00,2019-03-21 11:01:00,41.37243652,-72.91394806,98.15462721,41.36450418,-72.94873162,2019-03-21 09:57:00,3,21,3.0184130021729403,64.00000000000001,9,3,Thursday,8151.854295332065,loyal
9,1019,5c95a158b21adf06a6ac98c2,4ceb1df9727f7ce6265b814d,2019-03-22 11:27:00,2019-03-22 12:33:00,41.37202454,-72.91365814,97.50666434,41.3620125,-72.9478332,2019-03-22 11:27:00,3,22,3.0400967467453857,66.00000000000001,11,4,Friday,8151.854295332065,loyal
