visit_start_time,visit_weight
2019-03-01 07:57:00,108.2853359
2019-03-01 08:06:00,64.16180407
2019-03-01 08:30:00,80.69942898
2019-03-01 08:42:00,95.8309284
2019-03-01 10:11:00,108.2853359
2019-03-01 10:15:00,108.2853359
2019-03-01 10:23:00,64.37667295
2019-03-01 10:47:00,144.637507
2019-03-01 10:49:00,144.637507
2019-03-01 11:25:00,64.37667295
2019-03-01 11:27:00,60.19830113
2019-03-01 11:38:00,91.68121251
2019-03-01 12:36:00,64.37667295
2019-03-01 12:39:00,71.41780685
2019-03-01 13:25:00,95.8309284
2019-03-01 14:12:00,144.637507
2019-03-01 14:35:00,95.8309284
2019-03-01 14:39:00,95.8309284
2019-03-01 14:39:00,80.69942898
2019-03-01 14:41:00,95.8309284
2019-03-01 15:07:00,134.7458623
2019-03-01 15:50:00,95.8309284
2019-03-01 15:56:00,108.2853359
2019-03-01 16:10:00,91.68121251
2019-03-01 16:13:00,97.4667923
2019-03-01 16:31:00,147.3220572
2019-03-01 16:44:00,71.41780685
2019-03-01 16:46:00,108.2853359
2019-03-01 16:48:00,95.8309284
2019-03-01 16:50:00,134.7458623
2019-03-01 16:50:00,95.8309284
2019-03-01 17:15:00,95.8309284
2019-03-01 17:51:00,108.2853359
2019-03-01 17:51:00,108.2853359
2019-03-01 18:40:00,95.8309284
2019-03-01 19:07:00,71.41780685
2019-03-01 19:24:00,59.29831007
2019-03-01 19:35:00,108.2853359
2019-03-01 20:23:00,95.8309284
2019-03-01 20:50:00,51.75323446
2019-03-01 20:56:00,108.2853359
2019-03-01 21:13:00,108.2853359
2019-03-01 21:18:00,95.8309284
2019-03-01 22:12:00,114.7595826
2019-03-01 22:33:00,64.27615153
2019-03-01 22:42:00,39.66443712
2019-03-01 22:59:00,59.29831007
2019-03-02 07:10:00,135.2595147
2019-03-02 09:10:00,98.5140365
2019-03-02 09:47:00,108.8704493
2019-03-02 09:59:00,79.78387615
2019-03-02 10:17:00,65.27516449
2019-03-02 11:54:00,108.8704493
2019-03-02 12:51:00,108.8704493
2019-03-02 12:57:00,96.32808454
2019-03-02 13:00:00,74.94263149
2019-03-02 13:06:00,59.39514492
2019-03-02 13:12:00,49.00883865
2019-03-02 13:21:00,108.8704493
2019-03-02 13:23:00,108.8704493
2019-03-02 13:31:00,50.03655122
2019-03-02 13:33:00,50.03655122
2019-03-02 14:01:00,108.8704493
2019-03-02 14:15:00,128.5606277
2019-03-02 14:23:00,67.64868918
2019-03-02 14:40:00,66.32247212
2019-03-02 14:50:00,58.61769855
2019-03-02 14:55:00,79.78387615
2019-03-02 15:08:00,59.39514492
2019-03-02 15:09:00,130.0775889
2019-03-02 15:14:00,108.8704493
2019-03-02 15:23:00,103.0733847
2019-03-02 15:39:00,108.8704493
2019-03-02 16:12:00,30.38054227
